门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
衍天,太玄经,7,七宿·悟,处于{局}或{连局}之中的目标受到自身{祝由·火离·悟}或【杀星在尾·悟】伤害时，{减疗}50%，持续3秒。,101477,1
衍天,太玄经,7,灵灯·悟,施展【绝技招式】使自身造成的会心率和会心效果提高10%，持续15秒，施展【傍身招式】可延长1秒。,101478,2
衍天,太玄经,8,鬼星开穴·悟,立即引爆场上所有【灯魂】，对{局}和{连局}内敌方造成伤害并{定身}。,101454,1
衍天,太玄经,8,列宿游·悟,对敌方造成伤害，施展时每存在1个自身【灯魂】，自身获得1层{明灯·悟}，持续60秒。{明灯·悟}叠加至9层以后再次获得时，使本招式调息时间降低5秒。,101455,2
药宗,无方,9,鬼门·悟,{中毒}的目标气血低于50%时受到自身造成的伤害提高20%。,101419,1
药宗,无方,9,罔医·悟,{中毒}的敌方玩家加速率降低10%。,101420,2
药宗,无方,10,祛疾·悟,每次触发{无方中和}后，驱散目标身上的1个增益气劲。,101421,1
药宗,无方,10,神莹·悟,每次触发{无方中和}后，降低1秒{滞空技}的调息时间。,101422,2
药宗,无方,11,济世·悟,每次施展滞空技后，自身伤害提高15%，持续12秒。,101423,1
药宗,无方,11,寿延·悟,{腾空跃起}后回复5%最大气血值，自身免疫控制，最多持续5秒，该效果触地后消失。,101424,2
药宗,无方,12,苍棘缚地·悟,在目标区域生长植物【苍棘】对范围内的敌方目标造成毒性内功伤害，【苍棘】自身每秒流失10%血量，最多存在15秒。,101370,1
药宗,无方,12,逐云寒蕊·悟,在自身10尺范围内生长植物【寒蕊】范围内友方进入{隐匿}状态并每秒恢复2%气血值，【寒蕊】自身每秒流失10%血量，最多存在13秒。,101371,2
药宗,灵素,1,春晖·悟,自身受到伤害降低5%，植物每秒流失血量降低为8%。,101432,1
药宗,灵素,1,悬壶·悟,{腾空跃起}每次跳跃使自身治疗成效提高10%，最多提高30%。该效果触地后消失。,101433,2
药宗,灵素,2,苏生·悟,每次触发{灵素中和}后，回复自身和自身植物5%最大气血值。,101434,1
药宗,灵素,2,灵风·悟,每次触发{灵素中和}后，降低自身带{腾空跃起}的技能1秒调息。,101435,2
药宗,灵素,3,发荣·悟,植物在场期间自身治疗效果提高20%。,101436,1
药宗,灵素,3,无拘·悟,{腾空跃起}后回复5%最大气血值，自身免疫控制，最多持续5秒，该效果触地后消失。,101437,2
药宗,灵素,4,青川濯莲·悟,在目标区域生长植物【濯莲】为10尺范围内的友方目标恢复气血值，【濯莲】自身每秒流失10%血量，最多存在15秒。,101413,1
药宗,灵素,4,逐云寒蕊·悟,在自身10尺范围内生长植物【寒蕊】范围内友方进入{隐匿}状态并每秒恢复2%气血值，【寒蕊】自身每秒流失10%血量，最多存在13秒。,101414,2
刀宗,孤锋诀,5,斩涛·悟,力道提高15%、移动速度提高10%。,101537,1
刀宗,孤锋诀,5,砺身·悟,自身受到伤害则获得15点{锐意}。,101538,2
刀宗,孤锋诀,6,披靡·悟,施展招式回复{锐意}时，若{锐意}已满值，则自身伤害提高4%，持续8秒，可叠加5层。,101539,1
刀宗,孤锋诀,6,狂潮·悟,招式会心可对侠士目标额外造成5%当前气血值的{真实伤害}。,101540,2
刀宗,孤锋诀,7,骇浪·悟,每消耗30点{锐意}，回复自身8%最大气血值。,101541,1
刀宗,孤锋诀,7,倒海·悟,自身施加的{流血}最多可叠加3层，【留客雨·悟】命中已有{流血}的目标可使其获得1层{流血}。,101542,2
刀宗,孤锋诀,8,孤锋破浪·悟,对前方造成伤害，自身每拥有30点{锐意}招式伤害提高25%。\n·自身{锐意}满值时可挥出刀气，返还5秒调息时间，对目标造成伤害并附带{截辕·悟}12秒。,101395,1
刀宗,孤锋诀,8,怒锋倾涛·悟,冲向目标区域造成伤害。\n·可消耗30{锐意}使侠士目标额外受到20%当前气血值的{真实伤害}。,101396,2
万灵,山海心诀,5,射日·悟,【弓箭招式】伤害提高25%。,102012,1
万灵,山海心诀,5,白泽·悟,【唤兽招式】伤害提高30%。,102013,2
万灵,山海心诀,6,伴生·悟,10秒内射箭命中同一目标15次后，降低1秒【唤兽招式】的调息时间。,102014,1
万灵,山海心诀,6,灵祇·悟,释放【唤兽招式】后，自身回复10%最大气血值。,102015,2
万灵,山海心诀,7,偕行·悟,释放【唤兽招式】击中目标后，6秒内【弓箭招式】对该目标造成的伤害提高20%。,102016,1
万灵,山海心诀,7,佑护·悟,释放【唤兽招式】可降低2秒【弓箭招式】的调息时间。,102017,2
万灵,山海心诀,8,白虹贯日·悟,对敌方造成伤害。,102010,1
万灵,山海心诀,8,归平野·悟,召唤{乘黄}对敌方发起三次追击。\n第二次追击可拉拽敌方。\n第三次追击可对敌方造成{眩晕}3秒。,102011,2
